,n,Freq,name,include
1,211112,6,Natural Gas Liquid Extraction,1
2,212393,26,Other Chemical and Fertilizer Mineral Mining,1
3,212399,1,All Other Nonmetallic Mineral Mining,0
4,213112,5,Support Activities for Oil and Gas Operations,1
5,221112,163,Fossil Fuel Electric Power Generation,0
6,221122,33,Electric Power Distribution,0
7,236220,1,Commercial and Institutional Building Construction,0
8,237120,2,Oil and Gas Pipeline and Related Structures Construction,0
9,311119,18,Other Animal Food Manufacturing,0
10,311222,1,Soybean Processing,0
11,311411,1,"Frozen Fruit, Juice, and Vegetable Manufacturing",0
12,311511,2,Fluid Milk Manufacturing,0
13,311613,2,Rendering and Meat Byproduct Processing,0
14,311615,6,Poultry Processing,0
15,311712,3,Fresh and Frozen Seafood Processing,0
16,321113,6,Sawmills,0
17,321114,21,Wood Preservation,0
18,321212,14,Softwood Veneer and Plywood Manufacturing,0
19,321213,5,Engineered Wood Member (except Truss) Manufacturing,0
20,321219,6,Reconstituted Wood Product Manufacturing,0
21,321918,1,Other Millwork (including Flooring),0
22,321920,1,Wood Container and Pallet Manufacturing,0
23,321999,2,All Other Miscellaneous Wood Product Manufacturing,0
24,322110,58,Pulp Mills,0
25,322121,23,Paper (except Newsprint) Mills,0
26,322122,18,Newsprint Mills,0
27,322130,110,Paperboard Mills,0
28,322211,19,Corrugated and Solid Fiber Box Manufacturing,0
29,322221,1,Coated and Laminated Packaging Paper Manufacturing,0
30,324110,455,Petroleum Refineries,1
31,324121,29,Asphalt Paving Mixture and Block Manufacturing,1
32,324122,6,Asphalt Shingle and Coating Materials Manufacturing,1
33,324191,83,Petroleum Lubricating Oil and Grease Manufacturing,1
34,324199,34,All Other Petroleum and Coal Products Manufacturing,1
35,325110,445,Petrochemical Manufacturing,1
36,325120,89,Industrial Gas Manufacturing,1
37,325131,8,Inorganic Dye and Pigment Manufacturing,1
38,325181,154,Alkalies and Chlorine Manufacturing,1
39,325182,43,Carbon Black Manufacturing,1
40,325188,499,All Other Basic Inorganic Chemical Manufacturing,1
41,325191,7,Gum and Wood Chemical Manufacturing,1
